People's Republic of China (CN),0,,buyer country,,,"Hong Kong, Macao and Taiwan investment enterprises",0,,Sino-foreign joint venture,0,,Seller Category C,,,,,Foreign-owned,Domestic-funded enterprises,Joint venture,Hong Kong and Taiwan investment companies,,,,,Seller ownership,,,,,,Intellectual Property A,,,,,Domestic patent,technical secrets,No intellectual property rights,,Technical Services,0,Contract type A,,,,,technology development,Consulting and services,technology transfer,intellectual property transactions,,Installment payment,1,,payment method,,,Seller name,,,Seller name,,,Buyer name,,,Buyer name,,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Buyer Category B,,,buyer country,,,buyer country,,,Seller Category C,,,Seller Category C,,,Seller ownership,,,Seller ownership,,,Intellectual Property A,,,Intellectual Property A,,,Contract type A,,,Contract type A,,,payment method,,,payment method,
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Guangdong Nuojin Medical Appointment Co., Ltd.",2,,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,commission payment,1,,,,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"Kunming Bangyu Pharmaceutical Technology Co., Ltd.",2,,"Beijing Oriental Daoer Information Technology Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,commission payment,3
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,China International Airlines,2,,"Hua Xia Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Liyang Co., Ltd. (Japan)",2,,"Bank of Shanghai Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,Changshu Rural Commercial Bank,1,,Zhejiang Mintai Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Beijing Panasonic Color Picture Tube Co., Ltd.",2,,"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Shandong Lufu Pharmaceutical Group Co., Ltd.",2,,"Lanzhou Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Game Paradise Electronic Technology (Beijing) Co., Ltd.",2,,"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Beijing Jinyuan Computer Technology Co., Ltd.",2,,Kunshan Rural Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Internet Times (Beijing) Technology Co., Ltd.",18,,"Shanxi Jinhua Pharmaceutical Co., Ltd.",2,,The Road to Fame Business,2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,VENTURZ PHARM INC.,2,,"China Construction Bank Co., Ltd. Guizhou Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Shanghai Pudong Development Bank Co., Ltd.",1,,Soochow Rural Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Bengbu Fengyuan Pharmaceutical Technology Co., Ltd.",2,,"China Construction Bank Co., Ltd. Beijing Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Beijing Softfa Technology Co., Ltd.",2,,"China Construction Bank Co., Ltd. Ningxia Hui Autonomous Region Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Internet Times (Beijing) Technology Co., Ltd.",18,,"Jiangsu Zhengda Fenghai Pharmaceutical Co., Ltd.",2,,"Business Opportunities Online (Beijing) Network Technology Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Telit Technology Development Co., Ltd.",22,,"Santak Electronics (Shenzhen) Co., Ltd.",2,,"China Asset Management Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,Shenzhen Federation of Rural Credit Cooperatives,1,,Bank of East Asia (China) Limited,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Chongqing Sano Biopharmaceutical Co., Ltd.",2,,Guiyang Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Beijing Shuanghe Pharmaceutical Co., Ltd.",2,,"Bank of Beijing Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Shanghai Yutong Pharmaceutical Co., Ltd.",2,,"China Construction Bank Co., Ltd. Ningxia Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Shandong Grandbaike Biopharmaceutical Co., Ltd.",2,,"Xinchen Technology Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,Honeywell International Ltd.,2,,"Beijing Youli United Technology Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Hongbai Technology Co., Ltd.",2,,Fujian Rural Credit Cooperatives Union,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Beijing Solang Computer Co., Ltd.",6,,Logistics information management system for grain warehouse in western suburbs of Beijing,3,,"Beijing Fangzhi Technology Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Hainan Kangli Pharmaceutical Technology Co., Ltd.",2,,"China Construction Bank Co., Ltd. Beijing Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
