name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,Turnover,money,installment,paystyle,payment method
"Bank of Ningbo Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,2551720,2551720,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,2574000,2574000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,2580000,2580000,1,1,Installment payment
"Bank of Dalian Co., Ltd.",Liaoning Province,1,People's Republic of China (CN),1,2580000,2580000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,2586000,2586000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,2598000,2598000,1,1,Installment payment
Guangdong Federation of Rural Credit Cooperatives,Guangdong Province,1,People's Republic of China (CN),1,2600000,2600000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,2610240,2610240,1,1,Installment payment
"Jiangxi Changhe Automobile Co., Ltd.",Jiangxi Province,1,People's Republic of China (CN),1,2650000,2650000,1,1,Installment payment
Fujian Federation of Rural Credit Cooperatives,Fujian Province,1,People's Republic of China (CN),1,2680000,2680000,1,1,Installment payment
"China Everbright Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,2696000,2696000,1,1,Installment payment
Bank of East Asia (China) Limited,Shanghai,1,People's Republic of China (CN),1,2730000,2730000,1,1,Installment payment
"Beijing Boxintu Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2738000,2738000,1,1,Installment payment
Bank of China Limited,Beijing,1,People's Republic of China (CN),1,2746600,2746600,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,2760000,2760000,1,1,Installment payment
"Beijing Lianjia Real Estate Brokerage Co., Ltd.",Beijing,0,People's Republic of China (CN),1,2776100,2776100,1,1,Installment payment
Shijiazhuang Commercial Bank,Hebei Province,1,People's Republic of China (CN),1,2800000,2800000,1,1,Installment payment
Nanyang Commercial Bank (China) Limited,Shanghai,1,People's Republic of China (CN),1,2800000,2800000,1,1,Installment payment
Guizhou Federation of Rural Credit Cooperatives,Guizhou Province,1,People's Republic of China (CN),1,2800000,2800000,1,1,Installment payment
"Industrial Bank Co., Ltd.",Fujian Province,1,People's Republic of China (CN),1,2803000,2803000,1,1,Installment payment
Bank of East Asia (China) Limited,Shanghai,1,People's Republic of China (CN),1,2850000,2850000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,2879500,2879500,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,2880000,2880000,1,1,Installment payment
"China Everbright Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,2950000,2950000,1,1,Installment payment
"Dongguan Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,2967000,2967000,1,1,Installment payment
Shanxi Rural Credit Cooperatives Federation Datong Office,Shanxi Province,1,People's Republic of China (CN),1,2990000,2990000,1,1,Installment payment
"Beijing Lianzhong Computer Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3000000,3000000,0,2,One time payment
Fujian Federation of Rural Credit Cooperatives,Fujian Province,1,People's Republic of China (CN),1,3000000,3000000,1,1,Installment payment
"Tianjin Tianqi Group Meiya Automobile Manufacturing Co., Ltd.",Tianjin City,0,People's Republic of China (CN),1,3000000,3000000,1,1,Installment payment
"Hainan Baodaotong Technology Co., Ltd.",Hainan,0,People's Republic of China (CN),1,3009500,3009500,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3014000,3014000,1,1,Installment payment
"Beijing Oracle Software Trust Co., Ltd.",Beijing,1,People's Republic of China (CN),1,3028454,3028454,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3038300,3038300,1,1,Installment payment
Anhui Federation of Rural Credit Cooperatives,Anhui Province,0,People's Republic of China (CN),1,3040000,3040000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3061557.34,3061557.34,1,1,Installment payment
Nanyang Commercial Bank (China) Limited,Shanghai,1,People's Republic of China (CN),1,3066000,3066000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3095000,3095000,1,1,Installment payment
"Beijing Lianjia Real Estate Brokerage Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3120520,3120520,1,1,Installment payment
"Fuzhou Commercial Bank Co., Ltd.",Fujian Province,1,People's Republic of China (CN),1,3130000,3130000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3143500,3143500,1,1,Installment payment
"Dongguan Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,3146268.08,3146268.08,1,1,Installment payment
"Sino-German Housing Savings Bank Co., Ltd.",Tianjin City,1,People's Republic of China (CN),1,3180000,3180000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3182000,3182000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3186139.71,3186139.71,0,2,One time payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3196000,3196000,1,1,Installment payment
"Beijing Futong Oriental Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3232844,3232844,0,2,One time payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,3260000,3260000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3292000,3292000,1,1,Installment payment
Bank of China Limited,Beijing,1,People's Republic of China (CN),1,3300000,3300000,1,1,Installment payment
"Tai'an Commercial Bank Co., Ltd.",Shandong Province,1,People's Republic of China (CN),1,3330000,3330000,1,1,Installment payment
"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,People's Republic of China (CN),1,3352937.94,3352937.94,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3387500,3387500,1,1,Installment payment
"Beijing Rural Commercial Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,3400000,3400000,1,1,Installment payment
Agricultural Bank of China Shandong Branch,Shandong Province,1,People's Republic of China (CN),1,3474442.7,3474442.7,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3488000,3488000,1,1,Installment payment
Credit Card Center of China Minsheng Banking Corporation,Beijing,1,People's Republic of China (CN),1,3998000,3497150,1,1,Installment payment
"Bohai Bank Co., Ltd.",Tianjin City,1,People's Republic of China (CN),1,3500000,3500000,1,1,Installment payment
"Hankou Bank Co., Ltd.",hubei province,1,People's Republic of China (CN),1,3535000,3535000,1,1,Installment payment
Jinan Commercial Bank,Shandong Province,1,People's Republic of China (CN),1,3597000,3597000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3648000,3648000,1,1,Installment payment
"Shengjing Bank Co., Ltd.",Liaoning Province,1,People's Republic of China (CN),1,3658000,3658000,1,1,Installment payment
Beijing Rural Commercial Bank,Beijing,1,People's Republic of China (CN),1,3668096,3668096,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3683000,3683000,1,1,Installment payment
Jiangxi Federation of Rural Credit Cooperatives,Jiangxi Province,1,People's Republic of China (CN),1,3730000,3730000,1,1,Installment payment
China Construction Bank Corporation Xinjiang Uygur Autonomous Region Branch,Xinjiang Uygur Autonomous Region,1,People's Republic of China (CN),1,3740000,3740000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,3790000,3790000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3792000,3792000,1,1,Installment payment
"Lanzhou Bank Co., Ltd.",Gansu province,1,People's Republic of China (CN),1,3800000,3800000,1,1,Installment payment
"Bank of Beijing Co., Ltd.",Beijing,1,People's Republic of China (CN),1,3800000,3800000,1,1,Installment payment
"Beijing Duosi Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3800000,3800000,1,1,Installment payment
"Beijing Huasheng Tiancheng Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3833942.5,3833942.5,0,2,One time payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,4300000,3870000,1,1,Installment payment
Pudong Development Bank,Shanghai,1,People's Republic of China (CN),1,3924000,3924000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,3940000,3940000,1,1,Installment payment
"Xinchen Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,3980000,3980000,1,1,Installment payment
Zhangjiakou Commercial Bank,Hebei Province,1,People's Republic of China (CN),1,3990000,3990000,1,1,Installment payment
Guangdong Federation of Rural Credit Cooperatives,Guangdong Province,1,People's Republic of China (CN),1,4000000,4000000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,4083000,4083000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,4100000,4100000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,4149460,4149460,1,1,Installment payment
"Bank of Chengdu Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,4180000,4180000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,4300000,4300000,1,1,Installment payment
Guangxi Zhuang Autonomous Region Rural Credit Cooperatives United Cooperative,Guangxi Zhuang Autonomous Region,1,People's Republic of China (CN),1,4360000,4360000,1,1,Installment payment
Shenzhen Rural Commercial Bank,Guangdong Province,1,People's Republic of China (CN),1,4390000,4390000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,4398000,4398000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,9900000,4400000,1,1,Installment payment
"Beijing Lianzhong Computer Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,4405157,4405157,0,2,One time payment
Hengfeng Bank,Shandong Province,1,People's Republic of China (CN),1,4480000,4480000,1,1,Installment payment
"Bank of Qingdao Co., Ltd.",Shandong Province,1,People's Republic of China (CN),1,4583000,4583000,1,1,Installment payment
Shanghai Pudong Development Bank,Shanghai,1,People's Republic of China (CN),1,4584533,4584533,1,1,Installment payment
Bank of East Asia (China) Limited,Shanghai,1,People's Republic of China (CN),1,4665000,4665000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,4764000,4764000,1,3,commission payment
"Yuxin Data Technology Co., Ltd.",Tianjin City,0,People's Republic of China (CN),1,4785565,4785565,0,2,One time payment
"Anhui Huaihua Group Co., Ltd.",Anhui Province,0,People's Republic of China (CN),1,4796600,4796600,1,1,Installment payment
Shanghai Pudong Development Bank,Shanghai,1,People's Republic of China (CN),1,4896000,4896000,1,1,Installment payment
Quanzhou Commercial Bank,Fujian Province,1,People's Republic of China (CN),1,4980000,4980000,1,1,Installment payment
"Yuxin Data Technology Co., Ltd.",Tianjin City,0,People's Republic of China (CN),1,5000000,5000000,0,2,One time payment
"Rural Credit Bank Capital Clearing Center Co., Ltd.",Beijing,1,People's Republic of China (CN),1,5000000,5000000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,5296000,5296000,1,1,Installment payment
"Beijing I Love My Home Real Estate Brokerage Co., Ltd.",Beijing,0,People's Republic of China (CN),1,5344500,5344500,1,1,Installment payment
Bank of East Asia (China) Limited,Shanghai,1,People's Republic of China (CN),1,5355000,5355000,1,1,Installment payment
Shanghai Pudong Development Bank,Shanghai,1,People's Republic of China (CN),1,5440000,5440000,1,1,Installment payment
Shanghai Pudong Development Bank,Shanghai,1,People's Republic of China (CN),1,5472000,5472000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,5854990,5854990,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,5900000,5900000,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,6100000,6100000,1,1,Installment payment
"Lenovo Wangyu Technology (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,6231150,6231150,0,2,One time payment
China Everbright Bank,Beijing,1,People's Republic of China (CN),1,6380000,6380000,1,1,Installment payment
China Everbright Bank,Beijing,1,People's Republic of China (CN),1,6380000,6380000,1,1,Installment payment
"Beijing Yuxinhongtai Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,6420000,6420000,1,1,Installment payment
China Everbright Bank,Beijing,1,People's Republic of China (CN),1,6552000,6552000,1,1,Installment payment
China Everbright Bank,Beijing,1,People's Republic of China (CN),1,6576000,6576000,1,1,Installment payment
Shenzhen Development Bank,Guangdong Province,1,People's Republic of China (CN),1,6810000,6810000,1,1,Installment payment
"Beijing Huazheng Puhui Information Co., Ltd.",Beijing,0,People's Republic of China (CN),1,6850000,6850000,1,1,Installment payment
"ICBC Credit Suisse Fund Management Co., Ltd.",Beijing,1,People's Republic of China (CN),1,7162604,7162604,1,1,Installment payment
"Chongqing Rural Commercial Bank Co., Ltd.",Chongqing,1,People's Republic of China (CN),1,7250000,7250000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,7275000,7275000,1,1,Installment payment
Zhejiang Federation of Rural Credit Cooperatives,Zhejiang Province,1,People's Republic of China (CN),1,7380000,7380000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,7417000,7417000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,7453000,7453000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,7475760,7475760,1,1,Installment payment
"Beijing Lianzhong Computer Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,7571262.97,7571262.97,0,2,One time payment
Yunnan Federation of Rural Credit Cooperatives,Yunnan Province,1,People's Republic of China (CN),1,7900000,7900000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,8110600,8110600,1,1,Installment payment
