time,amount,internalization,outsourcing,if the sitting date time after 2006,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,Seller Category B,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,Technical field B,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,Intellectual property B,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Contract type B,socioeconomic goals,Turnover,money,installment,paystyle,payment method,Is the seller a central institution in Beijing?,Is it an intermediary service organization?,Transformed enterprise
1095d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1973022.37,1973022.37,1,1,Installment payment,no,no,no
729d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1974392.28,1974392.28,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1975450,1975450,1,1,Installment payment,no,no,no
425d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1977842.2,1977842.2,1,1,Installment payment,no,no,no
1095d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1980000,1980000,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1980000,1980000,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1980000,1980000,1,1,Installment payment,no,no,no
497d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1980000,1980000,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1980485,1980485,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1981000,1981000,1,1,Installment payment,no,no,no
1094d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1982403.05,1982403.05,1,1,Installment payment,no,no,no
504d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1984000,1984000,1,1,Installment payment,no,no,no
364d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1985000,1985000,1,1,Installment payment,no,no,no
1094d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1986888.96,1986888.96,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1987750,1987750,1,1,Installment payment,no,no,no
364d,26,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,1988875,1988875,1,1,Installment payment,no,no,no
730d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1990260,1990260,1,1,Installment payment,no,no,no
1094d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1993230,1993230,1,1,Installment payment,no,no,no
729d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,1999394.27,1999394.27,1,1,Installment payment,no,no,no
235d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2000000,2000000,1,1,Installment payment,no,no,no
539d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2000000,2000000,1,1,Installment payment,no,no,no
59d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2000000,2000000,1,1,Installment payment,no,no,no
179d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2000000,2000000,1,1,Installment payment,no,no,no
730d,1,0,1,0,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,technical secrets,0,0,1,3,Transfer of technical secrets,Promote industrial development,2000000,2000000,1,3,commission payment,no,no,no
594d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2000000,2000000,1,1,Installment payment,no,no,no
608d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2011000,2011000,1,1,Installment payment,no,no,no
365d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2038000,2038000,1,1,Installment payment,no,no,no
1095d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,infrastructure development,2053897.02,2053897.02,0,2,One time payment,no,no,no
569d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2075000,2075000,1,1,Installment payment,no,no,no
213d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,2117500,2117500,1,1,Installment payment,no,no,no
365d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2120000,2120000,1,1,Installment payment,no,no,no
96d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2138100,2138100,1,1,Installment payment,no,no,no
730d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2145000,2145000,1,1,Installment payment,no,no,no
365d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2150000,2150000,1,1,Installment payment,no,no,no
365d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,2150000,2150000,1,1,Installment payment,no,no,no
729d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2150500,2150500,1,1,Installment payment,no,no,no
365d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2160000,2160000,1,1,Installment payment,no,no,no
463d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,2163500,2163500,1,1,Installment payment,no,no,no
654d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2200000,2200000,1,1,Installment payment,no,no,no
725d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2200000,2200000,1,1,Installment payment,no,no,no
548d,26,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2220000,2220000,1,1,Installment payment,no,no,no
364d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,2220000,2220000,1,1,Installment payment,no,no,no
365d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,2239972.77,2239972.77,1,1,Installment payment,no,no,no
364d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2300000,2300000,1,1,Installment payment,no,no,no
1296d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2300000,2300000,1,1,Installment payment,no,no,no
574d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2329000,2329000,1,1,Installment payment,no,no,no
1461d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2335000,2335000,1,1,Installment payment,no,no,no
618d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2360000,2360000,1,1,Installment payment,no,no,no
272d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2381400,2381400,1,1,Installment payment,no,no,no
91d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,2400000,2400000,1,1,Installment payment,no,no,no
731d,26,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2400000,2400000,1,1,Installment payment,no,no,no
181d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2420000,2420000,1,1,Installment payment,no,no,no
274d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2466800,2466800,1,1,Installment payment,no,no,no
1095d,42,1,0,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2478401.78,2478401.78,1,1,Installment payment,no,no,no
298d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2480000,2480000,1,1,Installment payment,no,no,no
210d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2480000,2480000,1,1,Installment payment,no,no,no
183d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,2492160,2492160,1,1,Installment payment,no,no,no
274d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,2500000,2500000,1,1,Installment payment,no,no,no
365d,26,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,2501000,2501000,1,1,Installment payment,no,no,no
365d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,2551720,2551720,1,1,Installment payment,no,no,no
